length,probability
0,0.0010022048506714773
1,0.0010022048506714773
2,0.004309480857887352
3,0.06233714171176589
4,0.04980958107837242
5,0.028462617759069955
6,0.023551813990779717
7,0.018240128282220887
8,0.13359390659450793
9,0.12086590499098016
10,0.076668671076368
11,0.05953096812988575
12,0.07797153738224093
13,0.06724794548005612
14,0.05251553417518541
15,0.041290839847664865
16,0.03197033473642012
17,0.027560633393465626
18,0.020845860893966728
19,0.016536380036079375
20,0.014331529364602125
21,0.009320505111244739
22,0.007416315894968932
23,0.004710362798155943
24,0.005411906193625977
25,0.003006614552014432
26,0.0032070555221487274
27,0.00220485067147725
28,0.0027059530968129887
29,0.0019041892162758069
30,0.0020044097013429546
31,0.0018039687312086591
32,0.0012026458208057728
33,0.0019041892162758069
34,0.0016035277610743637
35,0.0014030867909400682
36,0.0012026458208057728
37,0.0012026458208057728
38,0.001102425335738625
39,0.0014030867909400682
40,0.0010022048506714773
41,0.001102425335738625
42,0.0010022048506714773
43,0.0012026458208057728
44,0.0010022048506714773
45,0.0010022048506714773
46,0.001102425335738625
47,0.0010022048506714773
48,0.0010022048506714773
49,0.0010022048506714773
50,0.001102425335738625
51,0.0010022048506714773
52,0.0010022048506714773
53,0.0010022048506714773
54,0.001102425335738625
